Crop	Scientific name 	Dependence on pollinators	Dependence rate	Pollinator group	Order	Family	Species	reference	doi/link	Obs
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Cantharidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Diabrotica illigeri	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Diabrotica interrupta	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Diabrotica sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Diabrotica sp. 3	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Genaphthona sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Morphospecies 2	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Morphospecies 3	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Nodonota sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Walterianella bakeri	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Chrysomelidae	Walterianella sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Curculionidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Curculionidae	Parisoschoenus sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Curculionidae	Phyllotrox sp. 2	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Curculionidae	Phyllotrox sp. 3	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Curculionidae	Terires cf. minusculus	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Curculionidae	Tonesia sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Mordelidae	Morphospecies 3	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Nitidulidae	Morphospecies 3	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Nitidulidae	Morphospecies 4	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Scarabaeidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Scirtidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Tenebrionidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Tenebrionidae	Morphospecies 2	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Undetermined	Undetermined	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Calliphoridae	Lucilia eximia	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Chloropidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Dolichopodidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Empididae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Micropezidae	Teniaptera sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
